,accuracy
AAPL,0.48240327380952386
ABBV,0.577088910712604
AMZN,0.541703869047619
BAC,0.4916437728937729
GOOGL,0.46118791602662573
JNJ,0.5599903474903475
JPM,0.48390151515151514
LLY,0.5047018239113827
MA,0.47897355912061795
MRK,0.5097639933166249
MSFT,0.5175438596491228
NVDA,0.4800979787296551
UNH,0.5165837754199822
V,0.4875422297297297
WFC,0.49636118598382745
