,accuracy
AAPL,0.5058407738095239
ABBV,0.577088910712604
AMZN,0.6014632936507937
BAC,0.40831043956043955
GOOGL,0.4732846902201741
JNJ,0.5265926640926641
JPM,0.4668560606060606
LLY,0.4975589667685256
MA,0.6105986333927511
MRK,0.5617690058479532
MSFT,0.5131578947368421
NVDA,0.4800979787296551
UNH,0.5436339522546418
V,0.6082347972972972
WFC,0.5850516621743037
