,0,1,2,3,4,5,6,7,8,9,10,11,12
AAPL,0.0,0.0,0.024327358629776093,0.0,0.49885418683019866,0.0,0.0,0.0,0.3865263787872206,0.0,0.09029207575280461,0.0,0.0
ABBV,0.5752083884648492,0.0,0.0,0.0,0.043115660101000416,0.014756859883817601,0.04028276483910223,0.32663632671123055,0.0,0.0,0.0,0.0,0.0
AMZN,0.04112768270230821,0.02275925585462798,0.021995577857350478,0.029691868560270906,0.13595399059232588,0.013919834038325711,0.052931329658414024,0.6180762445767682,0.021605322201457496,0.00782359021773116,0.005017004760152386,0.008277242740628498,0.020821056239638994
BAC,0.021308742059801825,0.1840451836850011,0.18288906317467948,0.07966356410877107,0.22361835599169905,0.014771988075011887,0.00924984687765258,0.1511745765325089,0.11550060866194051,0.015782790499747217,0.0,0.0,0.001995280333186423
GOOGL,0.0,0.0,0.5744201290291732,0.1567864012600641,0.11924206611425703,0.020704988799060742,0.03489353259655826,0.04268353081036004,0.05126935139052665,0.0,0.0,0.0,0.0
JNJ,0.1127769234812279,0.12448233801809723,0.08377544369800222,0.13506029231649086,0.16228248061364972,0.036528312218270034,0.02130374024589665,0.16076303975377038,0.09863774630289616,0.01499061557519176,0.01938786938521203,0.01020784890915045,0.019803349482144666
JPM,0.05475039482763364,0.0770943509240787,0.10917345680802752,0.12097461566097477,0.19569176397091587,0.04930340598888611,0.038087080832155416,0.15292880349903296,0.1268266713072943,0.0191865693717571,0.011011923524210203,0.0214696151077341,0.023501348177299444
LLY,0.12050535046373632,0.01601960287593144,0.10745778317024632,0.07579179744086509,0.20247740112118037,0.0,0.0,0.47369112702784677,0.0,0.0,0.0,0.0,0.004056937900193609
MA,0.03476293477205283,0.06313634362266149,0.06697931390523333,0.07705205801567877,0.2688971017552521,0.049708621755247616,0.044693956755861824,0.2745765487712465,0.07758654927143006,0.011808498012565003,0.008714514809449656,0.009616490053773593,0.012467068499547285
MRK,0.05548979670227328,0.04780327872264228,0.04486694771269785,0.09497402545984043,0.29813148737073086,0.046004486697406956,0.06910556915915107,0.25579167511689466,0.05443119073415734,0.011385864566646165,0.0038756626497419414,0.005935737002692479,0.012204278105124535
MSFT,0.3822993182567727,0.0,0.03868312306290091,0.03601844125228662,0.19371905911490186,0.0,0.0,0.0,0.34928005831313796,0.0,0.0,0.0,0.0
NVDA,0.0,0.0,0.19003587561199323,0.0,0.2177097135755847,0.0,0.0,0.592254410812422,0.0,0.0,0.0,0.0,0.0
UNH,4.968385772716024e-08,0.050209093682085655,0.10790412763034962,0.05576652130814227,0.236484007019857,0.049830250567138024,0.027408580192805232,0.46520012206298644,0.004432749226996899,0.002764441385462973,4.204322109515439e-08,2.3667712792621848e-17,1.5197097073929328e-08
V,0.04138102785736107,0.06668089680247359,0.0864454784139004,0.11532955083477413,0.22024103192974362,0.04454742764410192,0.03644902232040088,0.28356836943148594,0.065616897048633,0.010238905970302182,0.0011841667035157656,0.007512722748783858,0.02080450229452371
WFC,0.010853621607858792,0.12778840349941895,0.07257587732313572,0.0391516468131877,0.20551185706399858,0.06263046982428537,0.0026147633807929475,0.2751219566740224,0.15712558960335005,0.02285938084309796,0.0005639582752512501,0.003074328718244994,0.02012814637335535
