,accuracy
AAPL,0.5058407738095239
ABBV,0.577088910712604
AMZN,0.620672123015873
BAC,0.44677197802197804
GOOGL,0.4853174603174603
JNJ,0.5677009993186464
JPM,0.42878787878787883
LLY,0.4755001432391139
MA,0.6088131313131313
MRK,0.5759189640768587
MSFT,0.5131578947368421
NVDA,0.4800979787296551
UNH,0.64427608311229
V,0.6502956081081082
WFC,0.5747978436657681
