,AAPL,ABBV,AMZN,BAC,GOOGL,JNJ,JPM,LLY,MA,MRK,MSFT,NVDA,UNH,V,WFC
0,finvader_tot,finvader_neu,Open,finvader_neg,finvader_neg,finvader_neg,finvader_neu,neg_art_count,finvader_tot,finvader_neu,finvader_pos,Low,finvader_neg,finvader_pos,finvader_neu
1,neu_art_count,Low,neu_art_count,finvader_pos,finvader_neu,finvader_pos,finvader_tot,neu_art_count,pos_art_count,finvader_pos,Low,Volume,Open,Low,finvader_tot
2,total_articles,pos_art_count,total_articles,Low,finvader_pos,Open,Low,total_articles,neg_art_count,finvader_tot,Volume,total_articles,Low,Volume,High
3,3avg Open,3avg Open,3avg Open,neu_art_count,neu_art_count,Low,neg_art_count,3avg Open,3avg Open,Open,3avg Open,3avg Open,Volume,3avg Open,Low
4,7avg Open,7avg Open,7avg Open,3avg Open,7avg Open,3avg Open,7avg Open,7avg Open,7avg Open,neu_art_count,7avg Open,7avg Open,neg_art_count,7avg Open,7avg Open
